species	qma	stat	zone
PHC	PHC1	039	039
PHC	PHC1	038	038
PHC	PHC1	041	041
PHC	PHC1	042	042
PHC	PHC1	046	046
PHC	PHC1	044	045
PHC	PHC1	043	042
PHC	PHC1	049	049
PHC	PHC1	050	050
PHC	PHC1	051	051
PHC	PHC1	052	052
PHC	PHC1	009H	009
PHC	PHC1	016	015
PHC	PHC1	017	015
PHC	PHC1	029	029
PHC	PHC1	030	030
PHC	PHC1	013	013
PHC	PHC1	014	014
PHC	PHC1	003	003
PHC	PHC1	005	005
PHC	PHC1	106	002
PHC	PHC1	001	001
PHC	PHC1	048	048
PHC	PHC1	047	047
PHC	PHC1	002	002
PHC	PHC1	205	015
PHC	PHC1	401	401
PHC	PHC1	402	401
PHC	PHC1	403	403
PHC	PHC1	404	403
PHC	PHC1	801	041
PHC	PHC1	405	049
PHC	PHC1	406	050
PHC	PHC1	206	015
PHC	PHC1	701	036
PHC	PHC1	105	001
PHC	PHC1	101	042
PHC	PHC1	706	033
PHC	PHC1	501	031
PHC	PHC1	104	048
PHC	PHC1	603	601
PHC	PHC1	504	027
PHC	PHC1	303	026
PHC	PHC1	606	601
PHC	PHC1	610	601
PHC	PHC1	612	601
PHC	PHC1	604	601
PHC	PHC1	302	026
PHC	PHC1	605	601
PHC	PHC1	611	601
PHC	PHC1	045	045
PHC	PHC1	019	018
PHC	PHC1	021	020
PIL	PIL4	412	051
PIL	PIL4	411	052
PIL	PIL4	410	403
PIL	PIL4	408	401
PIL	PIL4	409	403
PIL	PIL4	407	401
PIL	PIL4	049	049
PIL	PIL4	050	050
PIL	PIL4	051	051
PIL	PIL4	052	052
PIL	PIL4	401	401
PIL	PIL4	402	401
PIL	PIL4	403	403
PIL	PIL4	404	403
PIL	PIL4	405	049
PIL	PIL4	406	050
PIL	PIL7	704	035
PIL	PIL7	705	034
PIL	PIL7	702	036
PIL	PIL7	703	036
PIL	PIL7	018	038
PIL	PIL7	032	033
PIL	PIL7	033	033
PIL	PIL7	034	034
PIL	PIL7	035	035
PIL	PIL7	036	036
PIL	PIL7	040	037
PIL	PIL7	037	037
PIL	PIL7	039	038
PIL	PIL7	038	038
PIL	PIL7	017	038
PIL	PIL7	701	036
PIL	PIL7	706	033
PIL	PIL10	092	091
PIL	PIL10	091	091
PIL	PIL10	093	091
PIL	PIL10	094	091
PIL	PIL1	107	008
PIL	PIL1	004	004
PIL	PIL1	008	008
PIL	PIL1	006	005
PIL	PIL1	007	005
PIL	PIL1	009	009
PIL	PIL1	010	010
PIL	PIL1	009H	009
PIL	PIL1	003	003
PIL	PIL1	005	005
PIL	PIL1	106	002
PIL	PIL1	001	001
PIL	PIL1	002	002
PIL	PIL1	105	001
PIL	PIL3	301	024
PIL	PIL3	608	601
PIL	PIL3	602	601
PIL	PIL3	623	601
PIL	PIL3	622	601
PIL	PIL3	625	601
PIL	PIL3	502	030
PIL	PIL3	615	601
PIL	PIL3	613	601
PIL	PIL3	601	601
PIL	PIL3	618	601
PIL	PIL3	614	601
PIL	PIL3	616	601
PIL	PIL3	619	601
PIL	PIL3	503	029
PIL	PIL3	609	601
PIL	PIL3	617	601
PIL	PIL3	620	601
PIL	PIL3	607	601
PIL	PIL3	621	601
PIL	PIL3	624	601
PIL	PIL3	018	018
PIL	PIL3	020	020
PIL	PIL3	023	022
PIL	PIL3	022	022
PIL	PIL3	024	024
PIL	PIL3	026	026
PIL	PIL3	027	026
PIL	PIL3	028	029
PIL	PIL3	031	031
PIL	PIL3	032	032
PIL	PIL3	025	025
PIL	PIL3	029	029
PIL	PIL3	030	030
PIL	PIL3	501	031
PIL	PIL3	603	601
PIL	PIL3	504	027
PIL	PIL3	303	026
PIL	PIL3	606	601
PIL	PIL3	610	601
PIL	PIL3	612	601
PIL	PIL3	604	601
PIL	PIL3	302	026
PIL	PIL3	605	601
PIL	PIL3	611	601
PIL	PIL3	019	018
PIL	PIL3	021	020
PIL	PIL2	203	013
PIL	PIL2	202	012
PIL	PIL2	204	014
PIL	PIL2	201	011
PIL	PIL2	011	011
PIL	PIL2	012	012
PIL	PIL2	015	015
PIL	PIL2	018	015
PIL	PIL2	016	015
PIL	PIL2	017	015
PIL	PIL2	013	013
PIL	PIL2	014	014
PIL	PIL2	205	015
PIL	PIL2	206	015
PIL	PIL2	019	015
PIL	PIL8	102	046
PIL	PIL8	103	047
PIL	PIL8	036	040
PIL	PIL8	040	040
PIL	PIL8	037	039
PIL	PIL8	039	039
PIL	PIL8	041	041
PIL	PIL8	042	042
PIL	PIL8	046	046
PIL	PIL8	044	045
PIL	PIL8	043	042
PIL	PIL8	016	039
PIL	PIL8	017	039
PIL	PIL8	048	048
PIL	PIL8	047	047
PIL	PIL8	801	041
PIL	PIL8	101	042
PIL	PIL8	104	048
PIL	PIL8	045	045
POR	POR10	092	091
POR	POR10	091	091
POR	POR10	093	091
POR	POR10	094	091
POR	POR1	107	008
POR	POR1	004	004
POR	POR1	008	008
POR	POR1	006	005
POR	POR1	007	005
POR	POR1	009	009
POR	POR1	010	010
POR	POR1	009H	009
POR	POR1	003	003
POR	POR1	005	005
POR	POR1	106	002
POR	POR1	001	001
POR	POR1	002	002
POR	POR1	105	001
POR	POR2	203	013
POR	POR2	102	046
POR	POR2	202	012
POR	POR2	204	014
POR	POR2	103	047
POR	POR2	201	011
POR	POR2	011	011
POR	POR2	012	012
POR	POR2	015	015
POR	POR2	018	015
POR	POR2	036	040
POR	POR2	040	040
POR	POR2	037	037
POR	POR2	039	039
POR	POR2	041	041
POR	POR2	042	042
POR	POR2	046	046
POR	POR2	044	045
POR	POR2	043	042
POR	POR2	016	015
POR	POR2	017	015
POR	POR2	013	013
POR	POR2	014	014
POR	POR2	048	048
POR	POR2	047	047
POR	POR2	205	015
POR	POR2	801	041
POR	POR2	206	015
POR	POR2	101	042
POR	POR2	104	048
POR	POR2	045	045
POR	POR2	019	015
POR	POR3	412	051
POR	POR3	301	024
POR	POR3	608	601
POR	POR3	602	601
POR	POR3	623	601
POR	POR3	622	601
POR	POR3	625	601
POR	POR3	502	030
POR	POR3	704	035
POR	POR3	411	052
POR	POR3	615	601
POR	POR3	613	601
POR	POR3	601	601
POR	POR3	618	601
POR	POR3	705	034
POR	POR3	702	036
POR	POR3	410	403
POR	POR3	408	401
POR	POR3	614	601
POR	POR3	616	601
POR	POR3	619	601
POR	POR3	503	029
POR	POR3	703	036
POR	POR3	409	403
POR	POR3	407	401
POR	POR3	609	601
POR	POR3	617	601
POR	POR3	620	601
POR	POR3	607	601
POR	POR3	621	601
POR	POR3	624	601
POR	POR3	018	018
POR	POR3	020	020
POR	POR3	023	022
POR	POR3	022	022
POR	POR3	024	024
POR	POR3	026	026
POR	POR3	027	026
POR	POR3	028	029
POR	POR3	031	031
POR	POR3	032	032
POR	POR3	025	025
POR	POR3	033	033
POR	POR3	034	034
POR	POR3	035	035
POR	POR3	036	036
POR	POR3	040	040
POR	POR3	037	037
POR	POR3	039	038
